id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,lokasi,alamat,longitude,latitude,bulan,jumlah_pengguna,satuan,tahun
21,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANDIR,"JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA",107.575,-6.9127,SEPTEMBER,526,ORANG,2017
22,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANDIR,"JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA",107.575,-6.9127,OKTOBER,424,ORANG,2017
23,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANDIR,"JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA",107.575,-6.9127,NOVEMBER,365,ORANG,2017
24,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANDIR,"JL. SRIGUNTING RAYA NO.1, SUMUR BANDUNG, GARUDA, ANDIR, KOTA BANDUNG, JAWA BARAT 40117, INDONESIA",107.575,-6.9127,DESEMBER,3,ORANG,2017
25,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,JANUARI,0,ORANG,2017
26,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,FEBRUARI,0,ORANG,2017
27,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,MARET,39,ORANG,2017
28,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,APRIL,151,ORANG,2017
29,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,MEI,135,ORANG,2017
30,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,JUNI,99,ORANG,2017
31,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,JULI,246,ORANG,2017
32,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,AGUSTUS,203,ORANG,2017
33,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,SEPTEMBER,182,ORANG,2017
34,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,OKTOBER,184,ORANG,2017
35,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,NOVEMBER,145,ORANG,2017
36,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ANTAPANI,"JL. A.H. NASUTION NO.14, JATIHANDAP, MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40193, INDONESIA",107.663,-6.9109,DESEMBER,149,ORANG,2017
37,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,JANUARI,0,ORANG,2017
38,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,FEBRUARI,0,ORANG,2017
39,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,MARET,0,ORANG,2017
40,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,APRIL,217,ORANG,2017
41,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,MEI,376,ORANG,2017
42,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,JUNI,412,ORANG,2017
43,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,JULI,422,ORANG,2017
44,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,AGUSTUS,423,ORANG,2017
45,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,SEPTEMBER,336,ORANG,2017
46,32,JAWA BARAT,3273,KOTA BANDUNG,KECAMATAN ARCAMANIK,"JL. CISARANTEN KULON, CISARANTEN KULON, ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40294, INDONESIA",107.685,-6.9181,OKTOBER,333,ORANG,2017
