id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kota_kabupaten;jumlah_penduduk;satuan;tahun
59;32;JAWA BARAT;3205;KABUPATEN GARUT;2477.11.00;RIBU ORANG;2012
60;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1710.43.00;RIBU ORANG;2012
61;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1148.78;RIBU ORANG;2012
62;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1036.49.00;RIBU ORANG;2012
63;32;JAWA BARAT;3209;KABUPATEN CIREBON;2076.61;RIBU ORANG;2012
64;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1164.72;RIBU ORANG;2012
65;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1117.92;RIBU ORANG;2012
66;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1663.04.00;RIBU ORANG;2012
67;32;JAWA BARAT;3213;KABUPATEN SUBANG;1480.71;RIBU ORANG;2012
68;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;885.386;RIBU ORANG;2012
69;32;JAWA BARAT;3215;KABUPATEN KARAWANG;2199.39.00;RIBU ORANG;2012
70;32;JAWA BARAT;3216;KABUPATEN BEKASI;2884.03.00;RIBU ORANG;2012
71;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;1567.04.00;RIBU ORANG;2012
72;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;383.915;RIBU ORANG;2012
73;32;JAWA BARAT;3271;KOTA BOGOR;995.081;RIBU ORANG;2012
74;32;JAWA BARAT;3272;KOTA SUKABUMI;308.405;RIBU ORANG;2012
75;32;JAWA BARAT;3273;KOTA BANDUNG;2444.62;RIBU ORANG;2012
76;32;JAWA BARAT;3274;KOTA CIREBON;298.825;RIBU ORANG;2012
77;32;JAWA BARAT;3275;KOTA BEKASI;2498.06.00;RIBU ORANG;2012
78;32;JAWA BARAT;3276;KOTA DEPOK;1891.98;RIBU ORANG;2012
79;32;JAWA BARAT;3277;KOTA CIMAHI;562.721;RIBU ORANG;2012
