id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kepemilikan,jumlah_lokasi_free_wifi,satuan,tahun
36,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,MASYARAKAT,0,LOKASI,2022
37,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,PEMERINTAH DAERAH,5,LOKASI,2022
38,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,SWASTA,1,LOKASI,2022
39,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,MASYARAKAT,0,LOKASI,2022
40,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,PEMERINTAH DAERAH,24,LOKASI,2022
41,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,SWASTA,36,LOKASI,2022
42,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,MASYARAKAT,0,LOKASI,2022
43,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,PEMERINTAH DAERAH,11,LOKASI,2022
44,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,SWASTA,12,LOKASI,2022
45,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,MASYARAKAT,0,LOKASI,2022
46,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,PEMERINTAH DAERAH,6,LOKASI,2021
47,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,SWASTA,45,LOKASI,2021
48,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,MASYARAKAT,0,LOKASI,2021
49,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,PEMERINTAH DAERAH,8,LOKASI,2021
50,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,SWASTA,2,LOKASI,2021
51,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,MASYARAKAT,0,LOKASI,2021
52,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,PEMERINTAH DAERAH,5,LOKASI,2021
53,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,SWASTA,1,LOKASI,2021
54,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,MASYARAKAT,0,LOKASI,2021
55,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,PEMERINTAH DAERAH,24,LOKASI,2021
56,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,SWASTA,36,LOKASI,2021
57,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,MASYARAKAT,0,LOKASI,2021
58,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,PEMERINTAH DAERAH,11,LOKASI,2021
59,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,SWASTA,12,LOKASI,2021
60,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,MASYARAKAT,0,LOKASI,2021
61,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,PEMERINTAH DAERAH,6,LOKASI,2020
62,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,SWASTA,45,LOKASI,2020
63,32,JAWA BARAT,3274,KOTA CIREBON,3274010,HARJAMUKTI,32.74.03,HARJAMUKTI,MASYARAKAT,0,LOKASI,2020
64,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,PEMERINTAH DAERAH,8,LOKASI,2020
65,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,SWASTA,2,LOKASI,2020
66,32,JAWA BARAT,3274,KOTA CIREBON,3274020,LEMAHWUNGKUK,32.74.02,LEMAH WUNGKUK,MASYARAKAT,0,LOKASI,2020
67,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,PEMERINTAH DAERAH,5,LOKASI,2020
68,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,SWASTA,1,LOKASI,2020
69,32,JAWA BARAT,3274,KOTA CIREBON,3274030,PEKALIPAN,32.74.04,PEKALIPAN,MASYARAKAT,0,LOKASI,2020
70,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,PEMERINTAH DAERAH,24,LOKASI,2020
71,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,SWASTA,36,LOKASI,2020
72,32,JAWA BARAT,3274,KOTA CIREBON,3274040,KESAMBI,32.74.05,KESAMBI,MASYARAKAT,0,LOKASI,2020
73,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,PEMERINTAH DAERAH,11,LOKASI,2020
74,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,SWASTA,12,LOKASI,2020
75,32,JAWA BARAT,3274,KOTA CIREBON,3274050,KEJAKSAN,32.74.01,KEJAKSAN,MASYARAKAT,0,LOKASI,2020
