id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bps_kode_kecamatan;bps_nama_kecamatan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;nama_lokasi;alamat;satuan;tahun
34;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;POSYANDU RT.02 RW.02;CIKIWUL RT.02 RW.02;Titik Wifi;2022
35;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;KANTOR KELURAHAN SUMURBATU;Jl. Pangkalan II;Titik Wifi;2022
36;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;Lapangan Stadion Mini;Jl. Lapangan RT. 02/04;Titik Wifi;2022
37;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;Majlis Ta'lim Attaubah;Jl. Gang Lurah RW. 03/01;Titik Wifi;2022
38;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;Majlis Ta'lim Nur Insani;Cisalak RW. 03/05;Titik Wifi;2022
39;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 10;Perum BTR 5 Cluster Hibiscus RT. 04/10;Titik Wifi;2022
40;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 08;Perum BTR 5 Cluster Jasmine RT. 01/ 08;Titik Wifi;2022
41;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;SEKRETARIAT RW 09;Perum BTR 5 Cluster Ixora RT. 08/09;Titik Wifi;2022
42;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;Sarana Olahraga;Perum Senopati Estate RT. 05/11;Titik Wifi;2022
43;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;Gedung Serbaguna;Perum Bhineka Asri 3 RT. 06/01;Titik Wifi;2022
44;32;JAWA BARAT;3275;KOTA BEKASI;3275030;BANTARGEBANG;32.75.07;BANTARGEBANG;Gedung Serbaguna;Jl. Koperpu XIII Blok B RT. 05/06;Titik Wifi;2022
45;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR KELURAHAN BINTARA;Jl. BintaraVIII, Bintara, Bekasi Barat;Titik Wifi;2022
46;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;TAMAN RW 16;Perum Griya Prima Bintara RW. 16;Titik Wifi;2022
47;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW.01;Jl. Bintara IV RT.003 / 01;Titik Wifi;2022
48;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW.025;Jl. Bintara III RT.003 / 02;Titik Wifi;2022
49;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR KELURAHAN BINTARA;Jl. Bintara VIII RT.006 / 03;Titik Wifi;2022
50;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR KECAMATAN BEKASI BARAT;Jl. Bintara Raya RT.013 / 10;Titik Wifi;2022
51;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW.15;Jl. Bintara IV RT.002 / 15;Titik Wifi;2022
52;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;YAYASAN PENDIDIKAN ISLAM AT THOLIBIN;Jl. Bintara 8 No.7;Titik Wifi;2022
53;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR KELURAHAN BINTARA JAYA;Jl. Raya Bintara Jaya 8 No.99;Titik Wifi;2022
54;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR KELURAHAN BINTARAJAYA;RW. 05;Titik Wifi;2022
55;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR RW.09;RW. 09;Titik Wifi;2022
56;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;LAPANGAN OLAHRAGA RW.12;RW. 12;Titik Wifi;2022
57;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR. RW.02;RW. 02;Titik Wifi;2022
58;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR KELURAHAN JAKASAMPURNA;Jl. KH. Noer Ali No.1, RT.008/RW.002;Titik Wifi;2022
59;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;FOLDER AIR FAJAR INDAH RW.20;Perum Fajar Indah RW. 20;Titik Wifi;2022
60;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;TAMAN RW.20;Perum Fajar Indah RW. 20;Titik Wifi;2022
61;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;AULA KELURAHAN JAKASAMPURNA;Jl. KH. Noer Ali No. 1 RT. 006 / 002;Titik Wifi;2022
62;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;WISATA KULINER RW. 06B;Jl. Majapahit RT.004 / 06B;Titik Wifi;2022
63;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;WISATA KULINER RW. 009;Jl. Lawu RT.007 / 009;Titik Wifi;2022
64;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW. 001;Jl. Patriot Dalam RT. 001 / 001;Titik Wifi;2022
65;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;MASJID JAMI BAITURRAHMAN;Jl. Mawar Raya RT. 010 / 002;Titik Wifi;2022
66;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;MASJID AL ISHLAH;Jl. Srikaya 1 No. 01;Titik Wifi;2022
67;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;MASJID AL IMAN KOTA BARU;Jl. Pepaya I No.20, RT.011/RW.005;Titik Wifi;2022
68;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR KELURAHAN KOTABARU;Jl. Duku Raya No.1;Titik Wifi;2022
69;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;SITU RAWA BEBEK KOTA BARU;Jl. Duku Raya RW.04;Titik Wifi;2022
70;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;SITU RAWA BEBEK KOTA BARU;Jl. Duku Raya RW.04;Titik Wifi;2022
71;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;SITU RAWA BEBEK KOTA BARU;Jl. Duku Raya RW.04;Titik Wifi;2022
72;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW. 001;Kp. Rawa Bebek RW.001;Titik Wifi;2022
73;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;MASJID AT-TAQWA;Rawa Pasung RT.003 RW.022;Titik Wifi;2022
74;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT BERSAMA (SEKBER) KEL.KOTABARU;Jl. Duku No.1 RW.004;Titik Wifi;2022
75;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW.010;Kp. Rawa Bebek RW.010;Titik Wifi;2022
76;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR KORAMIL 01 KRANJI;Jl. Jend. Sudirman No.19A;Titik Wifi;2022
77;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR KELURAHAN KRANJI;Jl. Parkit raya, Kranji, Bekasi Barat;Titik Wifi;2022
78;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW 011;Jl. Makam RT.003/011 Kel. Kranji;Titik Wifi;2022
79;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW 014;Jl. Banteng RT 001/014;Titik Wifi;2022
80;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW 004;Jl. Beringin NO. 30 RT.004/004;Titik Wifi;2022
81;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;TAMAN CLUSTER VIOLET;JL. Terusan I Gusti Ngurah Rai RW 16;Titik Wifi;2022
82;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW 010;Jl. Masjid Al Ikhlas RT 002/010;Titik Wifi;2022
83;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW 015;Jl. Banteng RT 004/015;Titik Wifi;2022
84;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KANTOR SEKRETARIAT RW. 07;Jl. Mangga Raya No.69 Perumnas I;Titik Wifi;2022
85;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;KODIM 0507;Jl. Jend. Sudirman No.19;Titik Wifi;2022
86;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;SEKRETARIAT RW.02;Jl. Samin RT.02 RW.02;Titik Wifi;2022
87;32;JAWA BARAT;3275;KOTA BEKASI;3275060;BEKASI BARAT;32.75.02;BEKASI BARAT;SEKRETARIAT BERSAMA (LPM, BKM, KATAR);Jl. Kelurahan RT.02 RW. 09;Titik Wifi;2022
88;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR SEKRETARIAT RW 02 (SEKRE KARANG TARUNA RW.02);Jl. Raya Cikunir Rw 02;Titik Wifi;2022
89;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR SEKRETARIAT RW 07;Jl. Barito Raya F Nomor 712;Titik Wifi;2022
90;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR KELURAHAN JAKAMULYA;Jl. RH Umar RT 003 /002 No.3;Titik Wifi;2022
91;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;SEKRETARIAT KARANG TARUNA;Jl. Cikunir Raya Rt 03 rw 03 nomor 45;Titik Wifi;2022
92;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR SEKRETARIAT RW 08;Jl. Palem Raya Rw 08;Titik Wifi;2022
93;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;MASJID BAITUL MUSLIMIN;Jl. Bangau Raya Rw 09;Titik Wifi;2022
94;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR SEKRETARIAT RW 13;Jl. Surya Utama Rw 13;Titik Wifi;2022
95;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR SEKRETARIAT RW 02;Jl. Asmawi RT.01 RW.02;Titik Wifi;2022
96;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;Majlis Talim Namsih Nuriyah;Jl H. Anwar, Gg.h.mawih no.26 rt01 rw01;Titik Wifi;2022
97;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;Sekretariat RW 01;jl mawih rt01 rw01;Titik Wifi;2022
98;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;Kantor Sekretariat RW 06;jalan pelangi;Titik Wifi;2022
99;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR KELURAHAN JAKA SETIA;Jl. Raya Pekayon Blok B No.1;Titik Wifi;2022
100;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;TAMAN GIGI;Jl. Taman Aster Blok L No.4 Jaka Setia;Titik Wifi;2022
101;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;TAMAN GIGI;Jl. Taman Aster Blok L No.4 Jaka Setia;Titik Wifi;2022
102;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;TAMAN POLDER AIR;Jl. Pulo Sirih Utama No.498, RT.003/RW.015;Titik Wifi;2022
103;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR SEKRETARIAT BKM KOTA BEKASI;Jl.Ki Ijo Bin Beih RT 004 RW 017;Titik Wifi;2022
104;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;Masjid Hidayatulloh;kampung Poncol rt 06/01;Titik Wifi;2022
105;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;Sekretariat RW 002;kp utan rt.003 rw.002;Titik Wifi;2022
106;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;Posyandu Tunas Kencana;Komplek Jaka Kencana RT.005/004;Titik Wifi;2022
107;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;PENDOPO TAMAN BLOK C;Perum. Villa Galaxy RT.03/19;Titik Wifi;2022
108;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;DINAS PEMADAM KEBAKARAN KOTA BEKASI;Perumnas 1, Kranji;Titik Wifi;2022
109;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;RUMAH PINTAR KAYURINGIN;Jl. Ceremai Raya Perumnas 2 Rw 13;Titik Wifi;2022
110;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR KELURAHAN KAYURINGIN JAYA;JL Letnan. Arsyad, Blok BD No. 9;Titik Wifi;2022
111;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;R. DINKES (Gate 7 Stadion);Stadion Patriot Candrabhaga;Titik Wifi;2022
112;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;R. DINKES (Gate 9 Stadion);Stadion Patriot Candrabhaga;Titik Wifi;2022
113;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR POKJA WARTAWAN (Gate 17);Stadion Patriot Candrabhaga;Titik Wifi;2022
114;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;RUANG SEKDA Gate 19;Stadion Patriot Candrabhaga;Titik Wifi;2022
115;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;TAMAN KONI KOTA BEKASI;Jl. Ahmad Yani No.2 RT.004/016 Area Selatan Stadion;Titik Wifi;2022
116;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;RUANG MEDIA CENTRE;Stadion Patriot Candrabhaga;Titik Wifi;2022
117;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR KONI KOTA BEKASI LT.2;Jl. Ahmad Yani No.2 RT.004/016 Area Selatan Stadion;Titik Wifi;2022
118;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;TAMAN HUTAN KOTA;JL. Ahmad Yani No. 1, Komplek Kantor Walikota Bekasi;Titik Wifi;2022
119;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR SEK. LAT TINJU KONI;Jl. Ahmad Yani No.2 RT.004/016;Titik Wifi;2022
120;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;TERMINAL BUS DAMRI KAYURINGIN;Jl. Burangrang Raya;Titik Wifi;2022
121;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;Kantor Sekretariat RW 12;jl. Jati raya rt01/rw12;Titik Wifi;2022
122;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;Kantor Sekretariat 004;jl. Tengiri 3 rt7 rw4;Titik Wifi;2022
123;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;Kantor Sekretariat RW 005;jl. Lele raya ni. 60a rt 001 rw 005;Titik Wifi;2022
124;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;TAMAN HUTAN KOTA;JL. Ahmad Yani No. 1, Komplek Kantor Walikota Bekasi;Titik Wifi;2022
125;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;SASANA TINJU KONI GOR;Jl. Ahmad Yani No.2 RT.004/016;Titik Wifi;2022
126;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;MUSHOLLA AL-HIDAYAH;Jl.Timah I, RT.09 RW.20 Perum Bumi Satria Kencana;Titik Wifi;2022
127;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;KANTOR IWO INDONESIA KOTA BEKASI;Apartemen Center Point Tower D Lantai 2 No.137;Titik Wifi;2022
128;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;MASJID AGUNG AL-BARKAH BEKASI;Jl. Veteran No. 46;Titik Wifi;2022
129;32;JAWA BARAT;3275;KOTA BEKASI;3275050;BEKASI SELATAN;32.75.04;BEKASI SELATAN;HUMAS KOTA BEKASI Lt Dasar;JL. Ahmad Yani No. 1, Komplek Kantor Walikota Bekasi;Titik Wifi;2022
